Room Temperature: 22 C,,,,
Condition: Measured water temp to make sure temp is constant before every trial,,,,
,Record Num,kohms_Avg,LWmV_Avg,PTemp_C_Avg
,,kilohms,mV,Deg C
,,Avg,Avg,Avg
,,,,
Trial 1  (14:52:00 - 14:57:00),,,,
07-09-21 14:52,205,-1.304,472.7,22.61
07-09-21 14:52,206,-1.099,421.4,22.61
07-09-21 14:52,207,-1.115,411.6,22.61
07-09-21 14:52,208,-1.153,403,22.61
07-09-21 14:52,209,-2.113,398.7,22.61
07-09-21 14:52,210,-2.487,395.5,22.61
07-09-21 14:52,211,-2.662,393.4,22.61
07-09-21 14:52,212,-2.704,390.6,22.61
07-09-21 14:52,213,-2.733,388.2,22.61
07-09-21 14:52,214,-2.735,385.5,22.61
07-09-21 14:52,215,-2.746,383.4,22.61
07-09-21 14:52,216,-2.769,381.4,22.61
07-09-21 14:53,217,-2.769,379.6,22.61
07-09-21 14:53,218,-2.777,377.4,22.61
07-09-21 14:53,219,-2.808,376,22.61
07-09-21 14:53,220,-2.858,373.9,22.61
07-09-21 14:53,221,-2.881,372.6,22.61
07-09-21 14:53,222,-2.886,370.6,22.61
07-09-21 14:53,223,-2.876,369.2,22.61
07-09-21 14:53,224,-2.879,367.4,22.61
07-09-21 14:53,225,-2.899,366.5,22.61
07-09-21 14:53,226,-2.915,365,22.61
07-09-21 14:53,227,-2.91,363.6,22.61
07-09-21 14:53,228,-2.902,361.9,22.61
07-09-21 14:54,229,-2.91,360.8,22.61
07-09-21 14:54,230,-2.868,359.5,22.61
07-09-21 14:54,231,-2.86,358.5,22.61
07-09-21 14:54,232,-2.842,356.8,22.61
07-09-21 14:54,233,-2.837,355.9,22.61
07-09-21 14:54,234,-2.795,354.2,22.61
07-09-21 14:54,235,-2.779,353.5,22.61
07-09-21 14:54,236,-2.761,352.4,22.61
07-09-21 14:54,237,-2.743,351.5,22.6
07-09-21 14:54,238,-2.717,350.2,22.61
07-09-21 14:54,239,-2.672,349.3,22.61
07-09-21 14:54,240,-2.648,348.2,22.61
07-09-21 14:55,241,-2.604,347.7,22.61
07-09-21 14:55,242,-2.586,346.2,22.61
07-09-21 14:55,243,-2.567,345.3,22.61
07-09-21 14:55,244,-2.549,344.5,22.61
07-09-21 14:55,245,-2.523,343.7,22.61
07-09-21 14:55,246,-2.51,342.9,22.61
07-09-21 14:55,247,-2.497,342.4,22.61
07-09-21 14:55,248,-2.481,342.3,22.61
07-09-21 14:55,249,-2.46,341.5,22.61
07-09-21 14:55,250,-2.449,341,22.61
07-09-21 14:55,251,-2.428,340.6,22.61
07-09-21 14:55,252,-2.41,340.2,22.61
07-09-21 14:56,253,-2.407,339.4,22.61
07-09-21 14:56,254,-2.392,338.5,22.61
07-09-21 14:56,255,-2.371,338,22.61
07-09-21 14:56,256,-2.344,337.2,22.61
07-09-21 14:56,257,-2.35,337.2,22.61
07-09-21 14:56,258,-2.329,337,22.61
07-09-21 14:56,259,-2.313,336,22.61
07-09-21 14:56,260,-2.303,335.8,22.61
07-09-21 14:56,261,-2.287,335.2,22.61
07-09-21 14:56,262,-2.274,334.6,22.61
07-09-21 14:56,263,-2.276,334,22.61
07-09-21 14:56,264,-2.279,334.4,22.61
07-09-21 14:57,265,-2.271,333.9,22.61
,,,,
Trial 2 (14:59:00 - 15:04:00),,,,
07-09-21 14:59,289,-2.444,445.5,22.61
07-09-21 14:59,290,-2.486,406.3,22.61
07-09-21 14:59,291,-2.536,399.9,22.61
07-09-21 14:59,292,-2.609,396.3,22.61
07-09-21 14:59,293,-2.656,393.1,22.61
07-09-21 14:59,294,-2.664,390.2,22.61
07-09-21 14:59,295,-2.677,388.5,22.61
07-09-21 14:59,296,-2.675,385.7,22.61
07-09-21 14:59,297,-2.669,383.7,22.61
07-09-21 14:59,298,-2.654,381.7,22.61
