trial,water_temp,date,record,time_s,kohms,mv,room_temp,
1,32,9/7/2021 16:17,1225,0,0.21,400,22.56,
1,32,9/7/2021 16:17,1226,5,0.204,380.1,22.56,
1,32,9/7/2021 16:17,1227,10,0.155,376.5,22.56,
1,32,9/7/2021 16:17,1228,15,0.16,376.5,22.56,
1,32,9/7/2021 16:17,1229,20,0.152,374.4,22.56,
1,32,9/7/2021 16:17,1230,25,0.138,372.3,22.56,
1,32,9/7/2021 16:17,1231,30,0.132,369.6,22.56,
1,32,9/7/2021 16:17,1232,35,0.108,367.4,22.56,
1,32,9/7/2021 16:17,1233,40,0.113,365.1,22.56,
1,32,9/7/2021 16:17,1234,45,0.083,363,22.56,
1,32,9/7/2021 16:17,1235,50,0.055,361.2,22.56,
1,32,9/7/2021 16:17,1236,55,0.058,359.4,22.56,
1,32,9/7/2021 16:18,1237,60,0.063,357.7,22.56,
1,32,9/7/2021 16:18,1238,65,0.055,356.5,22.56,
1,32,9/7/2021 16:18,1239,70,0.06,355.3,22.56,
1,32,9/7/2021 16:18,1240,75,0.052,353.4,22.56,
1,32,9/7/2021 16:18,1241,80,0.057,351.9,22.56,
1,32,9/7/2021 16:18,1242,85,0.046,350.9,22.56,
1,32,9/7/2021 16:18,1243,90,0.046,350,22.56,
1,32,9/7/2021 16:18,1244,95,0.049,348.7,22.54,
1,32,9/7/2021 16:18,1245,100,0.057,347.8,22.54,
1,32,9/7/2021 16:18,1246,105,0.057,346.9,22.54,
1,32,9/7/2021 16:18,1247,110,0.055,346,22.55,
1,32,9/7/2021 16:18,1248,115,0.074,345.5,22.55,
1,32,9/7/2021 16:19,1249,120,0.069,344.9,22.54,
1,32,9/7/2021 16:19,1250,125,0.091,344.3,22.56,
1,32,9/7/2021 16:19,1251,130,0.077,344.2,22.55,
1,32,9/7/2021 16:19,1252,135,0.091,343.7,22.55,
1,32,9/7/2021 16:19,1253,140,0.085,343,22.54,
1,32,9/7/2021 16:19,1254,145,0.099,342.5,22.53,
1,32,9/7/2021 16:19,1255,150,0.093,342,22.53,
1,32,9/7/2021 16:19,1256,155,0.107,341.2,22.53,
1,32,9/7/2021 16:19,1257,160,0.115,340.6,22.53,
1,32,9/7/2021 16:19,1258,165,0.113,340.5,22.53,
1,32,9/7/2021 16:19,1259,170,0.124,340.4,22.53,
1,32,9/7/2021 16:19,1260,175,0.14,339.7,22.53,
1,32,9/7/2021 16:20,1261,180,0.121,339.6,22.53,
1,32,9/7/2021 16:20,1262,185,0.146,338.9,22.53,
1,32,9/7/2021 16:20,1263,190,0.138,338.7,22.53,
1,32,9/7/2021 16:20,1264,195,0.14,338.5,22.53,
1,32,9/7/2021 16:20,1265,200,0.151,337.6,22.53,
1,32,9/7/2021 16:20,1266,205,0.154,337.6,22.53,
1,32,9/7/2021 16:20,1267,210,0.157,336.9,22.53,
1,32,9/7/2021 16:20,1268,215,0.168,336.5,22.51,
1,32,9/7/2021 16:20,1269,220,0.171,336,22.52,
1,32,9/7/2021 16:20,1270,225,0.179,336.1,22.52,
1,32,9/7/2021 16:20,1271,230,0.185,335.5,22.53,
1,32,9/7/2021 16:20,1272,235,0.185,335.3,22.53,
1,32,9/7/2021 16:21,1273,240,0.176,335.2,22.52,
1,32,9/7/2021 16:21,1274,245,0.187,334.7,22.52,
1,32,9/7/2021 16:21,1275,250,0.185,334.5,22.51,
1,32,9/7/2021 16:21,1276,255,0.196,333.5,22.52,
1,32,9/7/2021 16:21,1277,260,0.212,333.9,22.53,
1,32,9/7/2021 16:21,1278,265,0.237,333.2,22.51,
1,32,9/7/2021 16:21,1279,270,0.248,333.3,22.51,
1,32,9/7/2021 16:21,1280,275,0.268,332.7,22.5,
1,32,9/7/2021 16:21,1281,280,0.293,332.7,22.51,
1,32,9/7/2021 16:21,1282,285,0.31,332.2,22.52,
1,32,9/7/2021 16:21,1283,290,0.315,332.5,22.52,
1,32,9/7/2021 16:21,1284,295,0.34,332,22.53,
1,32,9/7/2021 16:22,1285,300,0.362,331.8,22.51,
2,32,9/7/2021 16:29,1369,0,0.15,429.4,22.45,
2,32,9/7/2021 16:29,1370,5,0.116,393.2,22.45,
2,32,9/7/2021 16:29,1371,10,0.108,386.2,22.45,
2,32,9/7/2021 16:29,1372,15,0.055,382.8,22.45,
2,32,9/7/2021 16:29,1373,20,0.061,380.1,22.45,
2,32,9/7/2021 16:29,1374,25,0.064,377.9,22.45,
2,32,9/7/2021 16:29,1375,30,0.061,375.2,22.45,
2,32,9/7/2021 16:29,1376,35,0.064,372.9,22.45,
2,32,9/7/2021 16:29,1377,40,0.067,370.5,22.45,
2,32,9/7/2021 16:29,1378,45,0.067,368.4,22.45,
2,32,9/7/2021 16:29,1379,50,0.067,366.2,22.45,
2,32,9/7/2021 16:29,1380,55,0.086,364.1,22.45,
2,32,9/7/2021 16:30,1381,60,0.086,362.4,22.45,
2,32,9/7/2021 16:30,1382,65,0.09,360.3,22.45,
2,32,9/7/2021 16:30,1383,70,0.088,358.7,22.45,
2,32,9/7/2021 16:30,1384,75,0.088,356.9,22.45,
2,32,9/7/2021 16:30,1385,80,0.074,355.1,22.45,
2,32,9/7/2021 16:30,1386,85,0.077,353.5,22.45,
2,32,9/7/2021 16:30,1387,90,0.065,352.1,22.45,
2,32,9/7/2021 16:30,1388,95,0.071,350.7,22.45,
2,32,9/7/2021 16:30,1389,100,0.063,349.4,22.45,
2,32,9/7/2021 16:30,1390,105,0.085,348.1,22.45,
2,32,9/7/2021 16:30,1391,110,0.071,347.1,22.45,
2,32,9/7/2021 16:30,1392,115,0.09,346.1,22.45,
2,32,9/7/2021 16:31,1393,120,0.085,345.6,22.45,
2,32,9/7/2021 16:31,1394,125,0.093,344.3,22.45,
2,32,9/7/2021 16:31,1395,130,0.096,343.7,22.45,
2,32,9/7/2021 16:31,1396,135,0.093,342.9,22.45,
2,32,9/7/2021 16:31,1397,140,0.101,342.4,22.45,
2,32,9/7/2021 16:31,1398,145,0.117,341.5,22.45,
2,32,9/7/2021 16:31,1399,150,0.112,341.1,22.45,
2,32,9/7/2021 16:31,1400,155,0.126,340.7,22.45,
2,32,9/7/2021 16:31,1401,160,0.137,340.5,22.45,
2,32,9/7/2021 16:31,1402,165,0.14,339.4,22.45,
2,32,9/7/2021 16:31,1403,170,0.145,339.2,22.45,
2,32,9/7/2021 16:31,1404,175,0.153,338.9,22.45,
2,32,9/7/2021 16:32,1405,180,0.159,338.8,22.45,
2,32,9/7/2021 16:32,1406,185,0.17,338.1,22.45,
2,32,9/7/2021 16:32,1407,190,0.173,337.6,22.45,
2,32,9/7/2021 16:32,1408,195,0.195,337.5,22.45,
2,32,9/7/2021 16:32,1409,200,0.209,337.1,22.45,
2,32,9/7/2021 16:32,1410,205,0.203,337,22.45,
2,32,9/7/2021 16:32,1411,210,0.22,337.1,22.45,
2,32,9/7/2021 16:32,1412,215,0.234,336.7,22.45,
2,32,9/7/2021 16:32,1413,220,0.24,336.5,22.45,
2,32,9/7/2021 16:32,1414,225,0.248,336.1,22.45,
2,32,9/7/2021 16:32,1415,230,0.24,336.3,22.45,
2,32,9/7/2021 16:32,1416,235,0.243,336,22.45,
2,32,9/7/2021 16:33,1417,240,0.251,335.6,22.45,
2,32,9/7/2021 16:33,1418,245,0.254,335.4,22.45,
2,32,9/7/2021 16:33,1419,250,0.248,335.2,22.45,
2,32,9/7/2021 16:33,1420,255,0.243,335.2,22.45,
2,32,9/7/2021 16:33,1421,260,0.24,335.2,22.45,
