"TOA5","CR300Series_2","CR300","1483","CR310-RF407.Std.10.04","CPU:Sensor3.CR300","46630","Table1"
"TIMESTAMP","RECORD","BattV_Avg","PTemp_C_Avg","VWC_Avg","EC_Avg","T_Avg","P_Avg","PA_Avg","VR_Avg"
"TS","RN","Volts","Deg C","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless"
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2021-09-15 11:55:00",0,12.27,32.6,0.022,0.008,24,2.706,1.186,1.011
"2021-09-15 12:00:00",1,12.27,33.29,0.022,0.008,24.28,2.705,1.186,1.011
"2021-09-15 12:05:00",2,12.26,33.69,0.041,0.014,24.1,3.437,1.223,1.018
"2021-09-15 12:10:00",3,12.26,32.57,0.121,0.068,23.58,6.767,1.369,1.085
"2021-09-15 12:15:00",4,12.26,34.43,0.108,0.065,24.35,6.185,1.349,1.082
"2021-09-15 12:20:00",5,12.26,34.42,0.103,0.062,23.84,5.965,1.34,1.078
"2021-09-15 12:25:00",6,12.26,34.69,0.1,0.061,24.49,5.861,1.336,1.077
"2021-09-15 12:30:00",7,12.27,37.79,0.099,0.06,26.03,5.812,1.334,1.076
"2021-09-15 12:35:00",8,12.27,39.82,0.098,0.059,27.21,5.77,1.332,1.075
"2021-09-15 12:40:00",9,12.27,41.6,0.172,0.14,28.21,9.2,1.461,1.177
"2021-09-15 12:45:00",10,12.27,42.31,0.151,0.125,28.36,8.15,1.427,1.157
"2021-09-15 12:50:00",11,12.27,41.54,0.138,0.111,28.14,7.53,1.405,1.14
"2021-09-15 12:55:00",12,12.27,39.14,0.13,0.104,26.91,7.207,1.393,1.13
"2021-09-15 13:00:00",13,12.27,36.78,0.126,0.099,26.03,7.019,1.385,1.125
"2021-09-15 13:05:00",14,12.27,35.09,0.124,0.096,25.41,6.898,1.381,1.121
"2021-09-15 13:10:00",15,12.27,34.07,0.211,0.189,25.05,11.24,1.526,1.238
"2021-09-15 13:15:00",16,12.27,33.86,0.19,0.17,24.88,10.08,1.492,1.214
"2021-09-15 13:20:00",17,12.27,33.52,0.174,0.153,24.54,9.27,1.466,1.193
"2021-09-15 13:25:00",18,12.27,33.52,0.163,0.141,24.39,8.75,1.449,1.178
"2021-09-15 13:30:00",19,12.27,33.05,0.156,0.133,23.91,8.42,1.437,1.167
"2021-09-15 13:35:00",20,12.27,32.84,0.152,0.127,23.62,8.2,1.429,1.16
