"TOA5","CR300Series_3","CR300","1482","CR310-RF407.Std.10.04","CPU:Lab3_MMB_st3.CR300","6277","Table1"
"TIMESTAMP","RECORD","BattV_Avg","PTemp_C_Avg","VWC_Avg","EC_Avg","T_Avg","P_Avg","PA_Avg","VR_Avg"
"TS","RN","Volts","Deg C","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless"
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2021-09-14 10:05:00",0,11.91,24.85,0,0.007,22.87,1.731,1.115,1.008
"2021-09-14 10:10:00",1,11.91,25.03,0,0.007,22.89,1.739,1.116,1.008
"2021-09-14 10:15:00",2,11.91,25.12,0,0.007,22.95,1.74,1.116,1.009
"2021-09-14 10:20:00",3,11.91,25.14,0,0.008,22.96,1.751,1.117,1.009
"2021-09-14 10:25:00",4,11.91,25.11,0,0.004,22.99,1.381,1.091,1.004
"2021-09-14 10:30:00",5,11.91,25.03,0,0,23.05,1.055,1.068,1
"2021-09-14 10:35:00",6,11.9,25.02,0,0,23.08,1.08,1.07,1
"2021-09-14 10:40:00",7,11.88,25.28,0,0,23.12,1.067,1.069,1
"2021-09-14 10:45:00",8,11.88,25.67,0.001,0.001,23.19,1.402,1.09,1
"2021-09-14 10:50:00",9,11.88,25.96,0,0,23.56,1.296,1.084,1
"2021-09-14 10:55:00",10,11.88,25.56,0,0,23.44,1.084,1.07,1
"2021-09-14 11:00:00",11,11.88,25.59,0,0,23.36,1.091,1.069,1
"2021-09-14 16:40:00",12,11.13,23.26,"NAN","NAN","NAN","NAN","NAN","NAN"
"2021-09-14 16:45:00",13,11.92,24.35,0.02,0.066,23.12,2.615,1.191,1.082
"2021-09-14 16:56:30",0,11.89,25.35,0.018,0.064,23.01,2.555,1.187,1.079
"2021-09-14 16:56:45",1,11.9,25.34,0.018,0.064,23.01,2.553,1.187,1.079
"2021-09-14 16:57:00",2,11.9,25.39,0.018,0.064,23.01,2.553,1.187,1.079
"2021-09-14 16:57:15",3,11.92,25.4,0.018,0.064,23.01,2.553,1.187,1.079
"2021-09-14 16:57:30",4,11.9,25.4,0.018,0.064,23,2.554,1.187,1.079
"2021-09-14 16:57:45",5,11.88,25.41,0.018,0.064,23,2.556,1.187,1.079
"2021-09-14 16:58:00",6,11.89,25.46,0.018,0.064,23,2.562,1.187,1.079
"2021-09-14 16:58:15",7,11.89,25.48,0.018,0.064,23,2.557,1.187,1.079
