TIMESTAMP,RECORD,Solar_W/m2,AirTemp_dC,Vapor_Pressure_kPa,AtmPressure_kPa,RelHumidity,WindSpeed_m/s,WindDirection
9/29/2021 12:20,16158,784,14,0.89,93.2,0.554,1.28,224.7
9/29/2021 12:20,16159,706,14,0.89,93.2,0.554,3.17,185.2
9/29/2021 12:21,16160,598,13.9,0.88,93.2,0.555,1.82,176.2
9/29/2021 12:21,16161,263,13.9,0.89,93.2,0.563,2.24,150.7
9/29/2021 12:21,16162,220,14.2,0.88,93.2,0.551,1.94,133.1
9/29/2021 12:21,16163,253,13.8,0.87,93.2,0.555,1.58,180.2
9/29/2021 12:22,16164,272,13.7,0.87,93.2,0.552,1.12,167.5
9/29/2021 12:22,16165,651,14.2,0.86,93.2,0.533,0.62,109.5
9/29/2021 12:22,16166,791,14.5,0.86,93.2,0.522,0.6,87.9
9/29/2021 12:22,16167,755,14.4,0.86,93.2,0.528,0.53,107.6
9/29/2021 12:23,16168,782,14.4,0.86,93.2,0.518,0.72,138.3
9/29/2021 12:23,16169,779,14.7,0.86,93.2,0.506,1.21,161.1
9/29/2021 12:23,16170,687,13.7,0.86,93.2,0.524,1.56,111.6
9/29/2021 12:23,16171,659,13.7,0.86,93.2,0.549,0.89,149.5
9/29/2021 12:24,16172,749,13.6,0.85,93.2,0.531,1.85,112.2
9/29/2021 12:24,16173,752,13.7,0.85,93.2,0.546,1.16,151.9
9/29/2021 12:24,16174,703,14,0.85,93.2,0.539,1.02,166.9
9/29/2021 12:24,16175,721,14.4,0.85,93.2,0.522,0.63,121.8
9/29/2021 12:25,16176,757,14,0.85,93.2,0.525,1.29,149.8
9/29/2021 12:25,16177,758,14.2,0.85,93.2,0.529,1.18,173.5
9/29/2021 12:25,16178,752,14.2,0.85,93.2,0.521,1.41,172.3
9/29/2021 12:25,16179,757,14.1,0.85,93.2,0.532,1.9,160.8
9/29/2021 12:26,16180,786,14.5,0.85,93.2,0.519,1.05,144
9/29/2021 12:26,16181,452,14.5,0.85,93.2,0.514,0.54,150.6
9/29/2021 12:26,16182,180,14.5,0.84,93.2,0.514,1.08,143.2
9/29/2021 12:26,16183,376,14.9,0.84,93.2,0.512,1.22,141.3
9/29/2021 12:27,16184,716,14.5,0.84,93.2,0.493,1.84,86.3
9/29/2021 12:27,16185,644,14.3,0.84,93.2,0.528,1.81,83.1
9/29/2021 12:27,16186,724,14.3,0.84,93.2,0.522,1.86,86.1
9/29/2021 12:27,16187,791,14.2,0.84,93.2,0.527,1.81,61.5
9/29/2021 12:28,16188,791,13.7,0.84,93.2,0.531,2.47,53.7
9/29/2021 12:28,16189,791,13.6,0.84,93.2,0.537,2.37,53.3
9/29/2021 12:28,16190,795,13.8,0.84,93.2,0.536,1.2,44.1
9/29/2021 12:28,16191,796,14.4,0.84,93.2,0.493,1.38,68.8
9/29/2021 12:29,16192,800,13.8,0.84,93.2,0.525,1.15,77.4
9/29/2021 12:29,16193,806,14.1,0.84,93.2,0.526,1.83,102.1
9/29/2021 12:29,16194,810,14.6,0.84,93.2,0.5,0.99,86.7
9/29/2021 12:29,16195,816,14.1,0.84,93.2,0.511,1.15,39.8
9/29/2021 12:30,16196,821,13.9,0.84,93.2,0.535,1.66,43.7
9/29/2021 12:30,16197,826,14.1,0.84,93.2,0.529,1.3,56.3
9/29/2021 12:30,16198,833,14.1,0.84,93.2,0.523,1.58,63
9/29/2021 12:30,16199,815,13.7,0.85,93.2,0.542,3.72,66.9
9/29/2021 12:31,16200,649,13.3,0.84,93.2,0.552,3.04,48.2
9/29/2021 12:31,16201,669,13.3,0.84,93.2,0.546,1.91,34.2
9/29/2021 12:31,16202,805,13.9,0.83,93.2,0.532,2.67,62.2
9/29/2021 12:31,16203,476,13.9,0.84,93.2,0.531,2.44,79.9
9/29/2021 12:32,16204,211,13.6,0.83,93.2,0.528,2.66,81.6
9/29/2021 12:32,16205,209,13.3,0.83,93.2,0.547,2.67,72.8
9/29/2021 12:32,16206,205,13.3,0.82,93.2,0.533,2.66,100
9/29/2021 12:32,16207,194,13.7,0.82,93.2,0.534,1.63,129.9
9/29/2021 12:33,16208,181,13.6,0.82,93.2,0.524,0.77,107.7
9/29/2021 12:33,16209,171,14.2,0.81,93.2,0.509,0.75,16
9/29/2021 12:33,16210,168,14,0.82,93.2,0.508,0.88,354.8
9/29/2021 12:33,16211,191,14,0.82,93.2,0.517,0.83,58.1
9/29/2021 12:34,16212,240,14.2,0.83,93.2,0.51,0.82,151.7
9/29/2021 12:34,16213,351,14,0.83,93.2,0.517,0.97,68.1
9/29/2021 12:34,16214,445,13.8,0.83,93.2,0.525,1.65,66.2
9/29/2021 12:34,16215,534,14.1,0.83,93.2,0.519,1.76,60.4
9/29/2021 12:35,16216,784,14.6,0.84,93.2,0.516,1.35,82.9
9/29/2021 12:35,16217,830,14.4,0.84,93.2,0.51,1.87,119.6
