,temp_C,direction,cycle,reading,best_fit,deviation,avg_up,avg_down,avg_updown
0,15.0,up,1,17.2,16.529272774160276,0.6707272258397232,0.22072722583972393,-0.22927277416027536,-0.004272774160275716
1,20.0,up,1,21.9,21.178392753529756,0.7216072464702421,0.2716072464702428,-0.2783927535297579,-0.0033927535297575417
2,25.0,up,1,26.7,25.827512732899237,0.8724872671007624,0.3724872671007624,-0.27751273289923617,0.04748726710076312
3,30.0,up,1,30.6,30.476632712268714,0.12336728773128769,0.023367287731286268,-0.17663271226871302,-0.07663271226871338
4,35.0,up,1,35.2,35.12575269163819,0.07424730836181226,0.024247308361811548,-0.025752691638189162,-0.0007526916381888071
5,40.0,up,1,39.9,39.77487267100767,0.1251273289923276,0.07512732899232688,,0.07512732899232688
6,35.0,down,1,35.1,35.12575269163819,-0.025752691638189162,,,
7,30.0,down,1,30.3,30.476632712268714,-0.17663271226871302,,,
8,25.0,down,1,25.5,25.827512732899237,-0.3275127328992369,,,
9,20.0,down,1,20.9,21.178392753529756,-0.2783927535297579,,,
10,15.0,down,1,16.3,16.529272774160276,-0.22927277416027536,,,
