,gt,treatment,pos_id,GNDVI_mean
0,aba1-6,control,0,0.529112023633958
1,aba1-6,drought,0,0.4729799210916209
2,ost2-2D,control,0,0.4598694663990882
3,ost2-2D,drought,0,0.33247762833139954
4,WT,control,0,0.517260219381314
5,WT,drought,0,0.4140602939924814
6,aba1-6,control,1,0.5297568021927298
7,aba1-6,drought,1,0.4441886060170718
8,ost2-2D,control,1,0.4772606936612522
9,ost2-2D,drought,1,0.3473249099072366
10,WT,control,1,0.5223456713698793
11,WT,drought,1,0.4341999630412542
12,aba1-6,control,2,0.5014338009985645
13,aba1-6,drought,2,0.45216963507169416
14,ost2-2D,control,2,0.4291561311990903
15,ost2-2D,drought,2,0.31952155028695495
16,WT,control,2,0.4988382438428697
17,WT,drought,2,0.37828210270111146
18,aba1-6,control,3,0.5343482392755795
19,aba1-6,drought,3,0.4625985716814971
20,ost2-2D,control,3,0.42610717136623505
21,ost2-2D,drought,3,0.3564081832669912
22,WT,control,3,0.5483759509158252
23,WT,drought,3,0.4217129341086079
24,aba1-6,control,4,0.5033136852719513
25,aba1-6,drought,4,0.4528299578162352
26,ost2-2D,control,4,0.41439141222465425
27,ost2-2D,drought,4,0.3809197315179568
28,WT,control,4,0.5091064604029735
29,WT,drought,4,0.4330843395620579
30,aba1-6,control,5,0.48061412587549296
31,aba1-6,drought,5,0.4217635759235031
32,ost2-2D,control,5,0.4265018725465454
33,ost2-2D,drought,5,0.31156582470447086
34,WT,control,5,0.5005143426699186
35,WT,drought,5,0.420438269410424
