gt,treatment,temp_C
aba1-6,control,19.8
aba1-6,control,20
aba1-6,control,19.8
aba1-6,control,19.1
aba1-6,control,19.4
aba1-6,control,19.4
aba1-6,drought,19.2
aba1-6,drought,19.1
aba1-6,drought,19.3
aba1-6,drought,19.1
aba1-6,drought,19
aba1-6,drought,18.7
ost2-2D,control,18
ost2-2D,control,17.7
ost2-2D,control,17.7
ost2-2D,control,17.5
ost2-2D,control,17.4
ost2-2D,control,17.1
ost2-2D,drought,18.5
ost2-2D,drought,20.2
ost2-2D,drought,20
ost2-2D,drought,19.2
ost2-2D,drought,18.4
ost2-2D,drought,17.9
WT,control,19.7
WT,control,19.5
WT,control,19.7
WT,control,19.8
WT,control,18.9
WT,control,19.4
WT,drought,22
WT,drought,21.9
WT,drought,21.9
WT,drought,21.7
WT,drought,21.7
WT,drought,21.7
